Treatment,Temperature,Genotype,Repetition,11,18,26,32,40,47,54,Root weight,Fresh  weight ,Dry weight
Water,T3,ROBILA,4,2,2,3,3,4,5,6,93.61,20.65,6.44
Water,T3,DEEP,4,3,4,5,5,5,5,6,51.63,23.22,6.63
Water,T3,OXHELLA,4,2,3,4,4,4,5,5,51.71,19.21,6
Water,T3,PRESTO,4,3,5,5,5,5,6,6,58.48,15.09,5.18
PRI,T0,NEVA,4,3,3,3,4,5,5,5,66.91,16.77,5.88
PRI,T0,NANT,4,2,3,3,4,4,5,6,42.72,14.71,5.02
PRI,T0,ROBILA,4,2,3,3,4,4,4,6,48.38,18.58,6
PRI,T0,DEEP,4,3,4,4,4,5,5,6,70.1,29.6,8.09
PRI,T0,OXHELLA,4,3,3,4,4,5,5,6,78.02,20.93,6.39
PRI,T0,PRESTO,4,3,3,4,4,5,5,6,78.5,14.82,4.92
PRI,T1,NEVA,4,0,0,3,2,3,5,6,72.44,19.77,6
PRI,T1,NANT,4,1,3,3,3,5,5,7,26.17,13.2,5.06
PRI,T1,ROBILA,4,2,2,2,3,4,4,6,42.49,14.55,6.48
PRI,T1,DEEP,4,2,3,4,4,5,5,6,81.06,51.75,11.81
PRI,T1,OXHELLA,4,3,4,4,4,6,5,7,68.36,21.24,6.41
PRI,T1,PRESTO,4,2,3,3,3,5,5,6,93.54,20.88,6.61
PRI,T2,NEVA,4,1,2,3,3,3,3,4,68.64,17.4,5.43
PRI,T2,NANT,4,0,1,2,3,3,3,4,33.65,16.54,4.98
PRI,T2,ROBILA,4,0,0,2,3,3,4,5,35.88,20.7,6.52
PRI,T2,DEEP,4,2,3,3,3,3,4,5,89.07,50.35,10.52
PRI,T2,OXHELLA,4,0,1,2,2,3,4,4,80.11,27.9,6.95
PRI,T2,PRESTO,4,2,2,4,4,4,4,4,113.8,32.48,7.97
PRI,T3,NEVA,4,0,1,3,3,3,3,4,98.78,27.4,6.80
PRI,T3,NANT,4,0,1,2,2,3,4,4,55.54,20.26,5.87
PRI,T3,ROBILA,4,2,2,3,4,3,4,5,46.91,25.63,7.74
PRI,T3,DEEP,4,1,2,3,3,3,4,4,147.9,74.58,16.23
PRI,T3,OXHELLA,4,0,2,2,2,3,3,4,94.27,33.88,7.88
PRI,T3,PRESTO,4,2,3,3,3,4,4,6,102.06,20.79,6.11
Water,T0,ROBILA,1,3,3,4,5,6,6,7,50.77,31.66,8.55
